CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
15635030110767,15,63503,0110767,2015-16,20,31,26,35,44,48,13,22,21,28,34,36
36678506036644,36,67850,6036644,2015-16,36,37,29,31,44,48,26,29,17,18,34,36
43696416048250,43,69641,6048250,2015-16,75,71,82,83,44,48,80,77,83,84,34,36
27660356026116,27,66035,6026116,2015-16,19,29,20,23,44,48,12,20,14,16,34,36
34674476034938,34,67447,6034938,2015-16,0,,42,45,44,48,0,,32,35,34,36
48705736051338,48,70573,6051338,2015-16,28,35,46,49,44,48,14,19,37,38,34,36
43104390123794,43,10439,0123794,2015-16,81,81,46,47,44,48,37,31,46,44,34,36
23656156117386,23,65615,6117386,2015-16,39,51,32,36,44,48,26,30,20,23,34,36
41688666043483,41,68866,6043483,2015-16,75,80,75,79,44,48,66,68,70,73,34,36
30736356096044,30,73635,6096044,2015-16,59,63,61,65,44,48,53,53,48,50,34,36
06615980630012,06,61598,0630012,2015-16,--,--,38,38,44,48,--,--,29,31,34,36
07617476003925,07,61747,6003925,2015-16,83,85,84,86,44,48,74,79,79,82,34,36
30103066069553,30,10306,6069553,2015-16,6,5,30,28,44,48,3,4,20,18,34,36
19645681933472,19,64568,1933472,2015-16,6,22,58,61,44,48,2,1,49,51,34,36
19647336061436,19,64733,6061436,2015-16,60,62,34,39,44,48,45,48,25,29,34,36
34674473432838,34,67447,3432838,2015-16,9,4,42,45,44,48,2,3,32,35,34,36
01611436090294,01,61143,6090294,2015-16,44,49,57,60,44,48,44,46,51,55,34,36
24656496025381,24,65649,6025381,2015-16,48,44,48,44,44,48,31,37,31,37,34,36
01612596001903,01,61259,6001903,2015-16,14,9,31,33,44,48,5,5,26,27,34,36
36678760120568,36,67876,0120568,2015-16,24,27,27,33,44,48,4,3,17,20,34,36
19647906020457,19,64790,6020457,2015-16,58,61,51,53,44,48,59,62,37,38,34,36
19647336019178,19,64733,6019178,2015-16,18,18,34,39,44,48,14,15,25,29,34,36
19643946057541,19,64394,6057541,2015-16,65,69,61,63,44,48,52,53,46,48,34,36
58727516056832,58,72751,6056832,2015-16,55,47,41,45,44,48,41,46,36,40,34,36
43733876047609,43,73387,6047609,2015-16,68,81,64,69,44,48,70,73,57,61,34,36
36738906035455,36,73890,6035455,2015-16,39,46,45,53,44,48,36,39,35,41,34,36
43104390120642,43,10439,0120642,2015-16,25,31,46,47,44,48,39,35,46,44,34,36
56105610112417,56,10561,0112417,2015-16,69,67,49,44,44,48,55,58,36,35,34,36
10624146007173,10,62414,6007173,2015-16,46,50,44,47,44,48,38,42,35,37,34,36
43695836047914,43,69583,6047914,2015-16,73,76,51,53,44,48,58,66,43,43,34,36
38684786089585,38,68478,6089585,2015-16,0,,52,53,44,48,1,,47,49,34,36
36678436036552,36,67843,6036552,2015-16,44,44,53,59,44,48,37,36,40,44,34,36
07617546105357,07,61754,6105357,2015-16,58,62,47,50,44,48,51,47,38,39,34,36
19647330131680,19,64733,0131680,2015-16,,60,,39,,48,,52,,29,,36
43696666062103,43,69666,6062103,2015-16,28,37,51,54,44,48,15,13,39,42,34,36
19647331931864,19,64733,1931864,2015-16,64,68,34,39,44,48,32,39,25,29,34,36
09618380107227,09,61838,0107227,2015-16,38,58,63,66,44,48,38,57,57,61,34,36
36679186106587,36,67918,6106587,2015-16,19,24,28,34,44,48,11,11,18,21,34,36
19101990121947,19,10199,0121947,2015-16,0,--,34,40,44,48,,--,23,27,34,36
10624146007108,10,62414,6007108,2015-16,32,34,44,47,44,48,27,28,35,37,34,36
19647336058077,19,64733,6058077,2015-16,40,44,34,39,44,48,27,33,25,29,34,36
36676866059380,36,67686,6059380,2015-16,31,31,33,36,44,48,19,21,19,21,34,36
23752182330207,23,75218,2330207,2015-16,--,--,42,41,44,48,--,--,33,38,34,36
07617966004931,07,61796,6004931,2015-16,22,32,33,35,44,48,18,26,23,25,34,36
30664566027510,30,66456,6027510,2015-16,55,56,35,41,44,48,57,60,31,37,34,36
19757136011126,19,75713,6011126,2015-16,53,56,58,60,44,48,57,58,50,52,34,36
19645356013452,19,64535,6013452,2015-16,63,71,65,72,44,48,55,60,56,61,34,36
19101990121921,19,10199,0121921,2015-16,3,,34,40,44,48,0,,23,27,34,36
19647336017859,19,64733,6017859,2015-16,27,28,34,39,44,48,24,26,25,29,34,36
33671730105767,33,67173,0105767,2015-16,44,47,32,37,44,48,34,37,20,23,34,36
37103716069355,37,10371,6069355,2015-16,,,,45,,48,,,,40,,36
34765056066682,34,76505,6066682,2015-16,16,14,28,31,44,48,21,24,23,25,34,36
37684113738234,37,68411,3738234,2015-16,54,59,47,53,44,48,21,22,29,31,34,36
24657550125575,24,65755,0125575,2015-16,26,15,28,31,44,48,10,4,19,22,34,36
43694506067201,43,69450,6067201,2015-16,39,46,41,48,44,48,28,36,37,41,34,36
07617546004360,07,61754,6004360,2015-16,79,76,47,50,44,48,76,72,38,39,34,36
07618120131714,07,61812,0131714,2015-16,,79,,74,,48,,71,,68,,36
19756636120158,19,75663,6120158,2015-16,70,71,70,71,44,48,,50,,50,34,36
54722566054548,54,72256,6054548,2015-16,25,22,41,48,44,48,21,13,29,32,34,36
07100740107334,07,10074,0107334,2015-16,,,,46,,48,,,,32,,36
56725386111850,56,72538,6111850,2015-16,26,31,20,22,44,48,14,14,13,13,34,36
19101990122077,19,10199,0122077,2015-16,0,,34,40,44,48,0,,23,27,34,36
48705816051379,48,70581,6051379,2015-16,25,29,26,29,44,48,14,25,18,21,34,36
39685696041891,39,68569,6041891,2015-16,30,31,47,47,44,48,19,18,33,32,34,36
34674396034060,34,67439,6034060,2015-16,6,7,35,39,44,48,3,2,28,30,34,36
19647336019475,19,64733,6019475,2015-16,38,44,34,39,44,48,31,31,25,29,34,36
27738252730141,27,73825,2730141,2015-16,10,3,29,31,44,48,0,,14,17,34,36
57726940120220,57,72694,0120220,2015-16,8,10,36,43,44,48,0,,27,31,34,36
38103893830361,38,10389,3830361,2015-16,,,0,30,44,48,,,0,13,34,36
19647330124446,19,64733,0124446,2015-16,18,21,34,39,44,48,12,10,25,29,34,36
41689166043871,41,68916,6043871,2015-16,48,48,45,49,44,48,40,38,35,36,34,36
33671736112692,33,67173,6112692,2015-16,37,50,32,37,44,48,29,29,20,23,34,36
30736356111561,30,73635,6111561,2015-16,66,71,61,65,44,48,55,59,48,50,34,36
19646910112144,19,64691,0112144,2015-16,46,49,42,46,44,48,26,30,25,32,34,36
30666473030053,30,66647,3030053,2015-16,75,75,62,66,44,48,43,45,55,57,34,36
30666210118174,30,66621,0118174,2015-16,63,32,50,53,44,48,16,16,38,40,34,36
15635291530369,15,63529,1530369,2015-16,73,74,48,51,44,48,47,44,23,23,34,36
50711346113286,50,71134,6113286,2015-16,54,60,41,40,44,48,40,43,27,29,34,36
50712170133124,50,71217,0133124,2015-16,,28,,39,,48,,4,,21,,36
30666476085641,30,66647,6085641,2015-16,40,57,62,66,44,48,27,42,55,57,34,36
